date,medication,post_text,replies_count,views,author_type,source
2025-02-23 20:11:08.635733,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2025-02-18 20:11:08.635736,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2025-02-13 20:11:08.635738,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2025-02-08 20:11:08.635741,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2025-02-03 20:11:08.635744,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
2025-01-29 20:11:08.635748,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2025-01-24 20:11:08.635750,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2025-01-19 20:11:08.635786,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2025-01-14 20:11:08.635814,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2025-01-09 20:11:08.635818,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
2025-01-04 20:11:08.635821,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2024-12-30 20:11:08.635824,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2024-12-25 20:11:08.635828,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2024-12-20 20:11:08.635831,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2024-12-15 20:11:08.635834,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
2024-12-10 20:11:08.635837,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2024-12-05 20:11:08.635840,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2024-11-30 20:11:08.635844,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2024-11-25 20:11:08.635847,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2024-11-20 20:11:08.635850,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
2024-11-15 20:11:08.635854,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2024-11-10 20:11:08.635856,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2024-11-05 20:11:08.635858,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2024-10-31 20:11:08.635860,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2024-10-26 20:11:08.635862,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
2024-10-21 20:11:08.635864,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2024-10-16 20:11:08.635866,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2024-10-11 20:11:08.635868,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2024-10-06 20:11:08.635869,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2024-10-01 20:11:08.635871,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
2024-09-26 20:11:08.635873,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2024-09-21 20:11:08.635875,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2024-09-16 20:11:08.635878,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2024-09-11 20:11:08.635880,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2024-09-06 20:11:08.635882,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
2024-09-01 20:11:08.635885,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2024-08-27 20:11:08.635887,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2024-08-22 20:11:08.635889,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2024-08-17 20:11:08.635891,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2024-08-12 20:11:08.635893,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
2024-08-07 20:11:08.635895,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2024-08-02 20:11:08.635897,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2024-07-28 20:11:08.635900,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2024-07-23 20:11:08.635901,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2024-07-18 20:11:08.635903,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
2024-07-13 20:11:08.635906,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2024-07-08 20:11:08.635908,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2024-07-03 20:11:08.635910,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2024-06-28 20:11:08.635912,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2024-06-23 20:11:08.635914,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
2024-06-18 20:11:08.635916,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2024-06-13 20:11:08.635918,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2024-06-08 20:11:08.635920,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2024-06-03 20:11:08.635922,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2024-05-29 20:11:08.635924,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
